,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 mm,"[-0.16666666666666666, 0.0, 0.5]",3,[-0.0833  0.      0.25  ],0.25,0.631192215413311
100 percent,"[0.2, -0.041666666666666664, 0.0]",3,[-0.0208  0.      0.1   ],0.1,0.8410472334273166
2 bars,"[-0.033333333333333326, 0.0, 0.25, 0.09999999999999999]",4,[-0.0083  0.05    0.1375],0.1375,0.7999467788852472
20 upgrade fee,"[0.2333333333333333, 0.2, -0.3, 0.0]",4,[-0.075   0.1     0.2083],0.20833333333333334,1.3629991886048842
200 gift card,"[0.0, 0.0, 0.30000000000000004]",3,[0.   0.   0.15],0.15000000000000002,0.9506658726971333
3 GB,"[-0.24375000000000002, 0.0, 0.0]",3,[-0.1219  0.      0.    ],-0.12187500000000001,0.8575555115685283
3 dots,"[0.14285714285714285, 0.033333333333333326, 0.0]",3,[0.0167 0.0333 0.0881],0.08809523809523809,0.8022904327633708
3 volume settings,"[0.4, 0.16]",2,[0.22 0.28 0.34],0.34,0.802383817673738
3000 mAh,"[0.375, 0.5, 0.0]",3,[0.1875 0.375  0.4375],0.4375,0.6966093375435327
30mpg car,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6262899993890222
4 case,"[0.0, 0.6]",2,[0.15 0.3  0.45],0.44999999999999996,0.6783525904436862
5 bars,"[0.0, 0.0, 0.5633333333333334]",3,[0.     0.     0.2817],0.2816666666666667,0.6339428235528977
5 pm,"[-0.15555555555555559, -0.16666666666666666, -0.16111111111111112]",3,[-0.1639 -0.1611 -0.1583],-0.1638888888888889,0.8341465432481804
6 am,"[0.0, -0.1]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.6812153226543536
7.0 update,"[0.0, 0.0, 0.0, -0.25625]",4,[-0.0641  0.      0.    ],-0.0640625,1.2859881401163973
7.1.1 update,"[0.0, 0.13636363636363635, 0.2, 0.0]",4,[0.     0.0682 0.1523],0.15227272727272728,1.2859881401163973
820 processor,"[0.0, 0.6, 0.0]",3,[0.  0.  0.3],0.3,0.6607910783715496
ATT,"[0.25, 0.0, 0.0]",3,[0.    0.    0.125],0.125,0.8445085860351844
Adoptable storage,"[0.10000000000000002, 0.14166666666666666]",2,[0.1104 0.1208 0.1312],0.13125,0.7259468498534375
Auto brightness,"[0.0, -0.25]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.7296465920118238
Battery life,"[0.0, -0.16111111111111112, -0.16666666666666666, 0.5, 0.5, 0.0, 0.0, 0.6000000000000001, 0.8, -0.125, 0.8, 0.0, -0.2, 0.0, 0.0, 0.5, 1.0, -0.7, 0.5, -0.4, 0.0, 1.0, 0.0, 0.45, 0.22222222222222224, 0.22777777777777777, 0.5, 0.0]",28,[0.  0.  0.5],0.5,3.1852638369970747
Battery mod,"[0.2, 0.2, 0.5, 0.2]",4,[0.2   0.2   0.275],0.275,1.7802109013554654
Buy,"[1.0, 1.0, 1.0, 0.5333333333333333, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0]",10,[0.65 1.   1.  ],1.0,2.0864821980633375
CC stick,"[0.1, 0.041666666666666664]",2,[0.0562 0.0708 0.0854],0.08541666666666668,0.8420144106297383
Cheers,"[0.037500000000000006, 0.0, 0.4]",3,[0.0188 0.0375 0.2188],0.21875,0.7945329748162867
Dumb question,"[0.3541666666666667, -0.375]",2,[-0.1927 -0.0104  0.1719],-0.19270833333333331,0.7182890888314986
Full LTE service,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7043399376579942
Full disclosure,"[0.29444444444444445, 0.29444444444444445, 0.35]",3,[0.2944 0.2944 0.3222],0.3222222222222222,0.7974220103458879
GPS apps,"[0.4, 0.0, 0.0]",3,[0.  0.  0.2],0.2,1.3487649615246082
Good deal,"[0.7, 0.7, 0.7, 0.7]",4,[0.7 0.7 0.7],0.7,1.3413372511534867
Good luck,"[0.6, 0.459375, 0.7, 0.7, 0.875, 0.55]",6,[0.5625 0.65   0.7   ],0.7,2.075672653657625
Great choice,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.7039788053667604
Great news,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.7434396564840143
High accuracy location,"[0.16, 0.16]",2,[0.16 0.16 0.16],0.16,0.8179244523593908
Long press,"[-0.05, -0.05, 0.27499999999999997, -0.07500000000000001]",4,[-0.0563 -0.05    0.0312],-0.05625000000000001,1.4547539722301424
Low volume,"[-0.01650717703349283, 0.0]",2,[-0.0124 -0.0083 -0.0041],-0.012380382775119624,0.8469224859120653
Many thanks,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7738948108863504
Memory Card,"[0.35, 0.0]",2,[0.0875 0.175  0.2625],0.26249999999999996,0.6730033957010217
Mod note,"[0.2, 0.2, 0.2, 0.2]",4,[0.2 0.2 0.2],0.2,0.9682212325933952
Mods,"[-0.1, -0.25, 0.0, 0.0]",4,[-0.1375 -0.05    0.    ],-0.1375,0.9377186365368223
New line,"[0.13636363636363635, 0.13636363636363635]",2,[0.1364 0.1364 0.1364],0.13636363636363635,0.6952615777936292
OIS,"[0.0625, 0.0, 0.0, 0.0]",4,[0.     0.     0.0156],0.015625,0.9760536077487321
OP,"[0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]",7,[0.  0.  0.1],0.1,1.2091908885301632
